scope	method	manuscript specification	public implementation	status	audit note
core	Statistical environment	R 4.3.1; Python 3.10.11; two-sided tests; BH where applicable	environment.yml; renv.lock	PASS	Runtime and Git commit are recorded with each workflow
single_cell	Library preparation and alignment	BD Rhapsody whole-transcriptome workflow; vendor pipeline	data/README.md	DOCUMENTED_EXTERNAL	Raw FASTQ and vendor outputs are not redistributed
single_cell	Cell quality control	300-6000 detected genes; mitochondrial RNA <30%; hemoglobin RNA <3%	workflows/single_cell/01_process_scrna.R	PASS	Thresholds are locked in config/parameters.yaml
single_cell	Normalization and feature selection	LogNormalize scale factor 10000; 2000 highly variable genes	workflows/single_cell/01_process_scrna.R	PASS	Uses the RNA assay
single_cell	Batch correction	Harmony by orig.ident using 20 PCs	workflows/single_cell/01_process_scrna.R	PASS	Dimensions are configuration controlled
single_cell	Graph clustering and embeddings	SNN clustering; UMAP; t-SNE	workflows/single_cell/01_process_scrna.R	PASS	Seurat graph workflow is explicit
single_cell	Manual cell-type annotation	Canonical lineage markers followed by manual review	workflows/single_cell/01b_annotation_and_markers.R	PASS	Marker evidence is exported; biological labels remain curator-reviewed
single_cell	Cluster markers	Seurat FindAllMarkers	workflows/single_cell/01b_annotation_and_markers.R	PASS	Wilcoxon thresholds and FDR are explicit
single_cell	Lineage subclustering	Subclustering of indicated epithelial, immune and stromal compartments	workflows/single_cell/01c_lineage_subclustering.R	PASS	One configurable workflow is reused across lineages and external BLCA scRNA-seq
single_cell	Marker heatmaps and enrichment	ClusterGVis heatmap plus cluster-level GO enrichment	workflows/single_cell/08_marker_visualization.R	PASS	Package-native output is retained
single_cell	Marker density	Nebulosa gene-density maps	workflows/single_cell/08_marker_visualization.R	PASS	Only detected genes are plotted
single_cell	inferCNV primary reference	Adjacent-tissue epithelial cells as reference; cutoff 0.1; HMM disabled	workflows/single_cell/02a_infercnv_adjacent_epithelial_reference.R	PASS	This matches the manuscript Methods and local final script
single_cell	inferCNV sensitivity reference	Immune, stromal and endothelial cells as within-sample reference	workflows/single_cell/02_infercnv_non_epi_reference.R	PASS_RETAINED_SENSITIVITY	Kept as a labeled sensitivity workflow rather than replacing the primary analysis
single_cell	Malignant-cell classification	Squared rescaled CNV score; top 10% reference profile; score >0.0005 and correlation >0.2	workflows/single_cell/02a_infercnv_adjacent_epithelial_reference.R	PASS	Thresholds are configuration locked
single_cell	Developmental potential	CytoTRACE2 with default scoring workflow	workflows/single_cell/04_cytotrace2.R	PASS	Input and species checks are explicit
single_cell	Primary pseudotime	Monocle2; mean expression >0.1; detected in >=10 cells; top 1000 DEGs; DDRTree; orderCells	workflows/single_cell/03_trajectory_analysis.R	PASS	Cancer_c0 is used as the malignant root program
single_cell	Trajectory robustness	Monocle3 executed through SCOP	workflows/single_cell/03b_monocle3_robustness.R	PASS	Uses scop::RunMonocle3 as in the final local code
single_cell	Transcription-factor network	pySCENIC GRNBoost; RcisTarget motif pruning; AUCell	workflows/single_cell/05_pyscenic.sh	PASS	Third-party databases and package source are not redistributed
single_cell	Differential expression	Seurat marker testing followed by multiple-testing correction	workflows/single_cell/01b_annotation_and_markers.R	PASS	Marker tables feed enrichment and figure modules
single_cell	GO and KEGG enrichment	clusterProfiler over significant marker genes	workflows/single_cell/06_functional_enrichment.R	PASS	Enrichment tables retain adjusted P values
single_cell	Hallmark GSEA	Ranked gene statistics with clusterProfiler GSEA	workflows/single_cell/06_functional_enrichment.R	PASS	Implemented in the shared enrichment workflow
single_cell	AUCell activity	Gene-set activity at single-cell resolution	workflows/single_cell/07_pathway_activity.R	PASS	Gene-set input remains configurable
single_cell	PROGENy activity	Human PROGENy network using top 500 responsive genes	workflows/single_cell/07_pathway_activity.R	PASS	Parameters are recorded in output metadata
single_cell	Relative observed-to-expected composition	Pooled observed/expected heatmap plus negative-binomial sample-level inference	workflows/single_cell/09_roe_composition.R	METHOD_TEXT_MISMATCH_RESOLVED	Local figure code used sscVis chi-square summaries whereas Methods stated negative binomial; the two outputs are now kept separate
single_cell	CellChat communication	CellChatDB.human; minimum 10 cells per group	workflows/single_cell/11_cellchat.R	PASS	Expression-based single-cell communication is kept in single_cell
single_cell	NicheNet sender-receiver analysis	SPP1 TAM sender and FAP myCAF receiver ligand-target prioritization	workflows/single_cell/12_nichenet_tam_to_mycaf.R	PASS	The sender-receiver analysis uses the annotated single-cell object
single_cell	scTenifoldKnk perturbation	Final analysis is restricted to SPP1 virtual knockout in Cancer_c0-Cancer_c4 malignant epithelial cells	workflows/single_cell/10_spp1_virtual_knockout.R	METHOD_TEXT_UPDATE_REQUIRED	Public code follows the finalized Fig. 8 analysis; manuscript Methods must remove the obsolete whole-TME FAP/SPP1 sentence and describe the package's PCR network construction
genetics	scPagwas GWAS integration	Legacy scPagwas_main; FinnGen R12; GRCh38; manuscript parameter set	workflows/genetics/01_scpagwas.R	PASS	Official resampling outputs are retained
