branch	method	locked specification	code location	status
core	CLI	--config; --input-dir; --output-dir; --seed; --threads	core/R/cli.R; core/python/common.py	PASS
core	statistical environment	R 4.3.1; Python 3.10.11; two-sided tests; BH where applicable	environment.yml; renv.lock	PASS
single_cell	QC	300-6000 genes; mitochondrial <30%; hemoglobin <3%	workflows/single_cell/01_process_scrna.R	PASS
single_cell	normalization	LogNormalize 10000; 2000 HVGs; 20 PCs	workflows/single_cell/01_process_scrna.R	PASS
single_cell	integration and embeddings	Harmony orig.ident; SNN; UMAP; t-SNE	workflows/single_cell/01_process_scrna.R	PASS
single_cell	annotation and markers	canonical markers; FindAllMarkers; manual review	workflows/single_cell/01b_annotation_and_markers.R	PASS
single_cell	lineage subclustering	configurable lineage selection; repeated Seurat-Harmony pipeline	workflows/single_cell/01c_lineage_subclustering.R	PASS
single_cell	inferCNV primary	adjacent epithelial reference; cutoff 0.1; HMM FALSE	workflows/single_cell/02a_infercnv_adjacent_epithelial_reference.R	PASS
single_cell	malignant classification	score >0.0005; correlation >0.2; top 10% reference profile	workflows/single_cell/02a_infercnv_adjacent_epithelial_reference.R	PASS
single_cell	inferCNV sensitivity	immune stromal endothelial reference	workflows/single_cell/02_infercnv_non_epi_reference.R	PASS_SENSITIVITY
single_cell	Monocle2	mean >0.1; >=10 cells; top 1000 q-ranked DEGs; DDRTree	workflows/single_cell/03_trajectory_analysis.R	PASS
single_cell	Monocle3 robustness	scop::RunMonocle3; group.by celltype_byhand	workflows/single_cell/03b_monocle3_robustness.R	PASS
single_cell	CytoTRACE2	human count input; default scoring workflow	workflows/single_cell/04_cytotrace2.R	PASS
single_cell	pySCENIC	GRNBoost; RcisTarget; AUCell	workflows/single_cell/05_pyscenic.sh	PASS
single_cell	enrichment	FindMarkers; GO; KEGG; Hallmark GSEA; BH	workflows/single_cell/06_functional_enrichment.R	PASS
single_cell	pathway activity	AUCell; PROGENy top 500	workflows/single_cell/07_pathway_activity.R	PASS
single_cell	visualization	ClusterGVis and Nebulosa	workflows/single_cell/08_marker_visualization.R	PASS
single_cell	composition	descriptive Ro/e plus sample-level negative-binomial inference	workflows/single_cell/09_roe_composition.R	PASS_WITH_METHOD_NOTE
genetics	scPagwas	scPagwas_main; FinnGen R12; GRCh38; 200 bootstrap; 100 backgrounds	workflows/genetics/01_scpagwas.R	PASS
genetics	scPagwas FDR	cell Random_Correct_BG_adjp; cell-type BH of bp_value	workflows/genetics/02_prepare_scpagwas_tables.R	PASS
genetics	SPP1 PheW-MR	eQTLGen Phase 1; UK Biobank SAIGE PheWeb; 1403 binary phenotypes; cases >500; expected 679; HEIDI >0.1; BH FDR <0.05	workflows/genetics/03_phewas_mr_spp1.R	PASS
spatial	cell2location reference	orig.ident; second_celltype_byhand; 250 epochs	workflows/spatial/cell2location/01_reference_signatures.py	PASS
